Trim 53.3560186 -6.450605299999999
Tuam 53.5156343 -8.8556139
Tubbercurry 54.0515736 -8.7342655
Tulla 52.8692148 -8.7607816
Tullamore 53.2760557 -7.4949018
Tullow 52.8038269 -6.7333962
Tulsk 53.7833 -8.25
Urlingford 52.7220498 -7.579965599999999
Virginia 53.834443 -7.0819246
Watercourse Road 51.9071362 -8.474507599999999
Waterford 52.2603022 -7.1152209
Watergrasshill 52.0134418 -8.3420259
Westport 53.7990696 -9.5194333
Wexford 52.33565290000001 -6.4616707
Whitegate 51.82706810000001 -8.227816299999999
Wicklow 52.9814783 -6.0426277
Williamstown 53.6771458 -8.5784097
Woodford 53.0521803 -8.4002368
Youghal 51.9480671 -7.842759799999999
